whislo,q1,med,q3,whishi
-2.4268914197287335,1.4854479863296421,5.897355489522683,8.41621076108429,11.745716420038558
5.631870625993106,7.487925676011234,8.333116081503691,10.617507887935151,13.063363396915024
5.720761567019641,8.948788771109394,10.913627329308863,11.77851439802965,13.244563214702971
0.8071157842899412,4.222688593450384,7.112654252454378,9.372380794030647,12.146879943531959
-0.327774065936832,1.6587829837457475,3.4555814490393777,4.947608012981129,7.960869732062728
-3.073087416471243,-1.6712448868926206,-0.06672868853749958,1.2830218592516744,5.374035280419207
-3.073087416471243,-1.395665844064715,2.054751341777634,4.822692494343061,7.116511114664391
1.702286691999071,5.504826102190407,8.057074301695636,13.904430610056409,17.146397797395323
11.180057350438426,13.388283897404515,14.705984338740471,15.909986110919478,17.639808863159345
3.192248308268532,5.375937303342578,9.478841763394744,14.215383167718604,17.646754827886298
-1.3994365059890002,3.192248308268532,4.605682034164396,5.3164503160119025,6.737335062084267
-1.3994365059890002,1.3232783628232,2.4784007126876304,3.905757770709527,5.820038007470121
0.018361233360296048,2.8251398162488517,6.011777309714011,8.354946100798898,11.679709723377067
2.0202422509154756,5.26359317252155,8.049863157447673,10.15385122894526,13.372027097925791
-4.557143116266717,-1.0379231390855028,1.2374120893405383,5.3963031075157915,11.036429930008225
-9.296523620540874,-6.127401877799815,-2.7130098911246057,-1.5211355917070821,0.8814979690967355
-14.499743822337084,-12.020499364254249,-10.300145913059108,-6.557317772133665,-1.9034971251384007
-14.499743822337084,-12.689429021711907,-11.850767540800733,-11.107429475871472,-9.575366341529618
-14.023415904883198,-12.445978645352566,-11.625693276701572,-10.957765312713102,-8.979775326351733
-14.169519759549429,-11.73456384196783,-10.627134323767846,-9.083393353560934,-7.54716453339903
-12.583944807994225,-10.50928096891248,-8.875725349582147,-7.009137015316135,-4.244297453646117
-10.4085420417274,-8.544628119095997,-7.417313702076809,-6.662256971419284,-4.244297453646117
-10.4085420417274,-9.01543116175788,-7.885935809487032,-6.693206383972473,-4.243703817007112
-8.547293669587054,-6.5425048245787565,-5.327527157001144,-3.2207030456814207,-1.6798484678938042
-7.352048424993824,-5.79897381429207,-3.26920618208804,-2.0668040167436326,1.9715524099892283
-6.891070048232189,-2.511659093329727,1.149698479127058,3.2278130065383004,4.927669899817248
-3.009893539508143,-0.8893738020511884,2.7879434344346175,3.7734852939834767,4.927669899817248
-13.559221762454465,-9.63546330945978,-6.6577789537364245,-2.0118021143131735,0.33931710632347034
-13.559221762454465,-11.348272602856166,-10.133353604709232,-9.124702521973575,-7.07972873015865
-13.52349860913057,-11.653634060465361,-10.782216098544856,-10.031099592473883,-8.78696011597814
-13.52349860913057,-10.958088532772564,-9.642940139384724,-7.857988060703337,-5.6347681370936975
-9.505622453569963,-7.960917102606373,-7.148441916892297,-6.271917386708948,-3.7905126194215764
-13.867517510020631,-11.490706352643999,-9.142090930694703,-8.040330697327903,-6.4567816001045895
-17.00498471551098,-14.316517329064416,-12.465568210638825,-11.543037921102801,-8.449767640318274
-23.70670526918405,-16.183344147406274,-15.05988495169085,-14.330519544061147,-10.643336098701605
-27.193139063773334,-24.922221093110434,-23.30686480682137,-17.014516850026766,-12.868029696562688
-27.193139063773334,-25.686410228983064,-24.4986202137776,-23.602739798857726,-21.176022420671817
-26.876748639792797,-25.121648686975213,-23.83675573064878,-21.93642113272262,-20.56775572855643
-25.76764301101385,-24.059488913217706,-22.167275176298944,-21.38760500577221,-19.098582464488455
-27.903632377167167,-25.842087848257442,-24.16436746514885,-22.927605313493494,-20.320338340856683
-32.671796904218766,-29.10824672313791,-27.58815906310324,-25.88579335414767,-23.60652183480016
-32.671796904218766,-31.484885043336913,-30.256409193539774,-28.416287118998383,-26.09908569078421
-33.45290342534509,-32.13038955492894,-30.694334215864906,-28.44034098761648,-26.09908569078421
-33.974380264501,-32.38421400765827,-30.034518315561996,-27.45711347872883,-24.128684665685245
-30.915307628963347,-26.84710389730685,-25.72176842701907,-24.180637315019325,-23.037397835747647
-26.93707166870044,-24.311302892271897,-23.410564480308913,-21.64597140276498,-19.438320934677055
-24.881804492056176,-23.48884578061404,-22.493748510929606,-21.248245361634574,-19.589422304331112
-24.923252399514748,-22.737616737497554,-20.845634833799835,-19.181858103098712,-16.356402164514
-22.974829786845348,-20.884730673390166,-20.02084919832993,-17.660812165018207,-16.356402164514
-24.2178311174103,-22.04204687392788,-21.239160291734645,-20.435262482011325,-17.725892047430992
-26.99476228276117,-25.43381221605904,-24.19337955603865,-22.025068143846873,-18.830742566420398
-29.796658610697534,-26.04160224630178,-25.125546514476728,-24.374693087440505,-23.015670674402095
-29.796658610697534,-26.93595452872001,-24.420316648926832,-22.69420716050932,-19.438031634425805
-25.05199133901428,-22.64355165579293,-19.901316642901747,-18.76912135150541,-16.97098636458805
-21.37980052248283,-18.72044186391949,-17.73103544709411,-15.9471117292006,-12.88270155430494
-22.96452220662761,-19.818824605752845,-18.17012087952794,-16.04506982363696,-12.88270155430494
-25.856443482963794,-23.42490934628151,-21.758625529195186,-19.58098056900755,-17.526178877942883
-24.51969744746502,-22.98199534641634,-22.166403203373417,-20.453042689304,-18.138831786392743
-23.49602505367522,-20.36331973011211,-18.499494086824743,-17.416303195942817,-14.770884180469972
-23.789576022196137,-19.357088120079858,-18.323928964289202,-17.381746965216557,-14.770884180469972
-23.789576022196137,-20.38723054952313,-19.357088120079858,-18.618975176669146,-17.59849651277402
-20.580400593940315,-18.70204538892542,-16.35530127522514,-12.580117707672569,-7.915634529053039
-15.974580658222141,-12.465322306506813,-9.628521567435046,-6.679703348945628,-4.8988639396959535
-9.394646324869527,-7.012453658428136,-5.732372096359267,-1.7334823446746208,1.2046044088742447
-6.5022940124292266,-1.5916504344466347,-0.48962283240750204,0.4924348249306658,3.3445945554495453
-1.5244165270255334,0.4442067346727321,2.679020188248116,4.754147259206386,7.517063757909453
1.5647403960395732,3.3856734088123086,4.330310882576638,5.253975768276943,7.517063757909453
1.5647403960395732,2.485841949946601,3.3581565859448324,4.4000962816662685,5.597166728412243
-3.443161941372062,-0.8473211882396539,0.33668772902217126,3.21005556281309,5.365489158393341
-4.953985576176766,-2.9566601556602228,-1.975243007492497,0.0889038692140911,2.1841708526047086
-4.953985576176766,-2.4384995888600107,0.977546269564994,2.572228820461708,5.3529179081996
-0.1353620177577064,1.9881965942008195,4.4013219169898115,5.629702450626215,7.8342344190440425
2.7736890133553227,5.194801124527052,6.089016237517055,7.093115786212697,13.484301088547692
6.111186488815999,7.31320538987804,9.874455716180355,11.834295336622414,14.576951032669
7.446319043372144,9.35513645438399,10.764701399809752,11.687973551029309,15.353184655673724
6.251728301210307,10.288018134416214,11.868736200402376,13.383241895474237,15.353184655673724
8.568096284990585,11.87653198249084,13.326861309478415,14.288107558407823,15.946383526482968
9.441915509138651,11.274552237122649,12.159601393738523,13.430742585250616,15.946383526482968
6.863619527450299,9.86998891713667,11.851238268084735,12.702070672190002,14.048730365868973
2.923000309676172,4.970841613059096,6.87114623462209,9.159999350658508,11.708749352283103
2.923000309676172,4.380241301564061,5.281879937506078,6.1762836806554535,7.066110439208838
2.94828562531485,6.039922948469437,8.265995421857964,13.958793758981814,17.004848484466805
8.695388431325746,12.469760263028064,13.951182692831658,15.11175544022224,17.004848484466805
9.50595277599637,11.576273459128005,13.394944238723884,14.820675836113969,16.961954167340426
10.315794569156518,13.477500997888772,15.380222529807288,17.1679679426799,19.21836136276178
12.010687219086416,14.709753432826329,15.659481927504007,17.079237203149184,19.21836136276178
14.034258443379535,16.68998873671924,18.63304593683583,21.230298936844363,26.494775175656482
17.712478682977874,20.634887555708897,22.691313807026397,24.798866308954914,26.494775175656482
18.17741675702986,19.85680144144876,20.958989150584507,22.690620721466914,24.832700825652296
15.495478895739321,17.948286254871057,20.195189991842337,23.52125630828418,25.740324858755766
15.495478895739321,17.122360352214475,20.111967186287742,24.019606399709854,26.2329713910211
20.60031967685192,22.691712235241507,23.613042988290182,24.47350715313564,26.2329713910211
19.459491899613525,21.653391955364405,22.6945853431359,24.03542364665772,26.608570608915922
21.662017220863518,24.393540893497526,26.608570608915922,30.83267924971936,32.63813654231995
