whislo,q1,med,q3,whishi
-8.892685966090534,-2.9761773360162826,-0.9100355687737305,1.9443261831342815,9.426992797249989
-22.06484970094525,-14.040261141975332,-11.983258603195843,-9.863871506960148,-2.4990539555672426
-20.48826296902812,-11.369144112662067,-7.156764808698043,2.066176845076107,9.50516811169828
-31.109905764989144,-14.111720266975503,-0.4194194057290367,6.757744403893269,13.484723486919368
-32.557489511318686,-17.751328184674236,-13.5287566767118,-0.43980135378609225,4.979514875620298
-20.358361415756374,-14.1710090066482,-11.781497423341868,-9.708614591005201,-4.302520603376024
-16.577420170303757,-10.993498716513932,-7.117587806703446,-4.4600139011887965,3.0972669032098796
-24.179265934015195,-14.673989167382846,-9.888906992789522,-5.3883258292371545,-0.39997141896521526
-12.604276392683873,-5.16595074804906,-1.2799350736741975,1.7464664190094803,7.336355202656372
-33.881870147450606,-26.80058223641724,-21.42775239782069,-16.2193577317414,-4.150920348884206
-34.941467478957705,-22.117418256700883,-16.223152778791203,-12.006000469726573,-3.926026358575691
-27.1125149891774,-21.728569864373874,-16.17163914623742,-9.125248041435201,-3.543053486319571
-36.14171991284075,-30.660442532845913,-27.741775242877495,-11.238414979321012,-2.177122040392063
-45.0538906322877,-35.55376962756699,-29.689447508075254,-24.25288930922163,-14.712661342297455
-52.58030081401485,-41.83490206780358,-39.41846244075305,-35.90579128313054,-18.894558241552886
-64.35073587223161,-57.96410187787874,-55.54397635434634,-52.79556453097793,-34.75954478371472
-96.00933009455123,-88.68532588228715,-76.72588425389519,-63.20350367838576,-54.05884789725179
-98.16202122564528,-93.52310679568956,-90.67216978778859,-85.70738223263997,-82.06198726499665
-100.13466743178626,-92.91503728990902,-88.6043478858845,-85.74610650429135,-78.19173597430897
-111.38551680186725,-106.10090321909348,-102.40152445683628,-97.94764514728203,-87.81623397127855
-89.87427975210714,-82.90415935576291,-79.91992106385442,-77.56322564801536,-65.51462237400138
-90.75983646001589,-85.6407131470055,-83.17527568661146,-79.16525578226319,-72.89424341059842
-97.68102091925404,-87.7768262999108,-84.03399526552332,-81.68061313137534,-73.8290303596626
-111.16980509501506,-103.9096245246698,-97.45015953105292,-92.58571140017311,-85.229382078462
-107.51861655763415,-94.66104887101872,-90.37688299835258,-85.44650361194495,-76.09767541978768
-136.5625991847883,-129.79733531124626,-127.36012670712482,-117.10625309730992,-104.0120767465614
-141.88156566217518,-136.2839537415999,-133.09531053874292,-115.21559223326175,-109.04771945037346
-117.93457720677716,-111.89224631923838,-108.79574165871078,-103.13075298321723,-91.57472212304134
-127.3635734096696,-123.28592698756509,-119.9020018057276,-116.85564375159717,-111.5258991603772
-142.48646813681935,-135.90103810573254,-132.123126440438,-126.60863454909963,-112.04490428197533
-147.088480124902,-139.26925368712435,-136.21113547272006,-132.1886319944328,-124.97830860481335
-156.712068750559,-151.80210677956933,-144.34797842969627,-137.4085472658329,-119.74016080861217
-161.48151353724782,-156.15754057231456,-152.84632694028588,-148.03825981753124,-138.82029566795086
-158.16585506749362,-153.67036031815007,-149.8237261476663,-146.216975471324,-134.40303484677813
-157.07493592353498,-148.39611333900984,-143.43100415653947,-140.54057068414298,-133.2653780616349
-149.4259487691509,-137.40717132746738,-127.74273014429762,-122.80050503940932,-115.18204993498954
-116.89166555840292,-107.32340156139037,-94.11817851249563,-80.08525300110426,-65.35969808591028
-83.67091846968458,-74.86083090982517,-69.45936682395157,-65.59420917498511,-57.79036908867566
-77.24045802490004,-69.33972428490353,-67.36440375638952,-65.22315373324012,-56.53147482224519
-75.4558430861253,-68.498193904354,-66.95095694975078,-65.24156989352892,-56.382016138362054
-99.40083065436612,-90.02507920894912,-84.26049824553621,-70.30233468386348,-59.09118237132025
-71.005458315327,-63.568157297432094,-57.030751021663015,-49.433736131678046,-40.67829339149791
-45.47347753023346,-25.571715320168295,-17.973865041636802,-11.885286473310588,-5.372339326822948
-29.775873248655458,-23.555718642349802,-20.082546221229244,-16.093963745452527,-8.274308634881184
-34.82013851879685,-20.400311360072518,-17.01158790787101,-7.315671179127275,-2.1268823806685435
-53.17601164634178,-38.265910240909186,-34.30113506769745,-31.632010391845302,-25.016847379846148
-88.55930407275319,-77.08947946114812,-63.94266555553648,-58.96935471851596,-45.98859843279126
-85.14399980205253,-72.55748765060778,-67.75255863124339,-46.15860248149063,-25.80477680176852
